Year,Month,Day,Site,NABAEnglishName,ButterflyCount,Party_Hours,#Parties
1985,8,17,AtascosaHighlandsAZ,Texas Powdered-Skipper,1,22,3
1985,8,17,AtascosaHighlandsAZ,Elada Checkerspot,36,22,3
1985,8,17,AtascosaHighlandsAZ,Drusius Cloudywing,14,22,3
1985,8,17,AtascosaHighlandsAZ,Northern Cloudywing,55,22,3
1985,8,17,AtascosaHighlandsAZ,Dorantes Longtail,28,22,3
1985,8,17,AtascosaHighlandsAZ,American Lady,1,22,3
1986,8,30,AtascosaHighlandsAZ,Desert Cloudywing,1,35,5
1986,8,30,AtascosaHighlandsAZ,California Sister,3,35,5
1986,8,30,AtascosaHighlandsAZ,Gulf Fritillary,36,35,5
1986,8,30,AtascosaHighlandsAZ,Dotted Roadside-Skipper,1,35,5
1986,8,30,AtascosaHighlandsAZ,Nysa Roadside-Skipper,1,35,5
1986,8,30,AtascosaHighlandsAZ,White Angled-Sulphur,10,35,5
1986,8,30,AtascosaHighlandsAZ,Mormon Metalmark,1,35,5
1986,8,30,AtascosaHighlandsAZ,Palmer's Metalmark,28,35,5
1986,8,30,AtascosaHighlandsAZ,Empress Leilia,2,35,5
1986,8,30,AtascosaHighlandsAZ,Cestus Skipper,1,35,5
1986,8,30,AtascosaHighlandsAZ,Sheep Skipper,32,35,5
1986,8,30,AtascosaHighlandsAZ,Pipevine Swallowtail,282,35,5
1986,8,30,AtascosaHighlandsAZ,Arizona Metalmark,15,35,5
1986,8,30,AtascosaHighlandsAZ,Common Streaky-Skipper,9,35,5
1986,8,30,AtascosaHighlandsAZ,White-striped Longtail,4,35,5
1986,8,30,AtascosaHighlandsAZ,White-patched Skipper,1,35,5
1986,8,30,AtascosaHighlandsAZ,Bordered Patch,18,35,5
1986,8,30,AtascosaHighlandsAZ,Theona Checkerspot,6,35,5
1986,8,30,AtascosaHighlandsAZ,Arizona Skipper,4,35,5
1986,8,30,AtascosaHighlandsAZ,Valeriana Skipper,1,35,5
1986,8,30,AtascosaHighlandsAZ,Southern Dogface,224,35,5
1986,8,30,AtascosaHighlandsAZ,Orange Sulphur,24,35,5
1986,8,30,AtascosaHighlandsAZ,Orange Skipperling,15,35,5
1986,8,30,AtascosaHighlandsAZ,Queen,104,35,5
1986,8,30,AtascosaHighlandsAZ,Monarch,1,35,5
1986,8,30,AtascosaHighlandsAZ,Dymasia dymas chara,370,35,5
1986,8,30,AtascosaHighlandsAZ,Zela Metalmark,2,35,5
1986,8,30,AtascosaHighlandsAZ,Funereal Duskywing,14,35,5
1986,8,30,AtascosaHighlandsAZ,Mournful Duskywing,1,35,5
1986,8,30,AtascosaHighlandsAZ,Variegated Fritillary,14,35,5
1986,8,30,AtascosaHighlandsAZ,Mexican Fritillary,1,35,5
1986,8,30,AtascosaHighlandsAZ,Boisduval's Yellow,9,35,5
1986,8,30,AtascosaHighlandsAZ,Mexican Yellow,66,35,5
1986,8,30,AtascosaHighlandsAZ,Sleepy Orange,126,35,5
1986,8,30,AtascosaHighlandsAZ,Tailed Orange,81,35,5
1986,8,30,AtascosaHighlandsAZ,Erichson's White-Skipper,3,35,5
1986,8,30,AtascosaHighlandsAZ,Ceraunus Blue,82,35,5
1986,8,30,AtascosaHighlandsAZ,Reakirt's Blue,30,35,5
1986,8,30,AtascosaHighlandsAZ,Pahaska Skipper,1,35,5
1986,8,30,AtascosaHighlandsAZ,Fiery Skipper,2,35,5
1986,8,30,AtascosaHighlandsAZ,Common Buckeye,15,35,5
1986,8,30,AtascosaHighlandsAZ,Tropical Buckeye (form nigrosuffusa),20,35,5
1986,8,30,AtascosaHighlandsAZ,Lyside Sulphur,5,35,5
1986,8,30,AtascosaHighlandsAZ,Marine Blue,361,35,5
1986,8,30,AtascosaHighlandsAZ,American Snout,694,35,5
1986,8,30,AtascosaHighlandsAZ,Red-spotted Purple,12,35,5
1986,8,30,AtascosaHighlandsAZ,Red Satyr,84,35,5
1986,8,30,AtascosaHighlandsAZ,Common Mestra,1,35,5
1986,8,30,AtascosaHighlandsAZ,Leda Ministreak,29,35,5
1986,8,30,AtascosaHighlandsAZ,Dainty Sulphur,80,35,5
1986,8,30,AtascosaHighlandsAZ,Mourning Cloak,2,35,5
1986,8,30,AtascosaHighlandsAZ,Giant Swallowtail,19,35,5
1986,8,30,AtascosaHighlandsAZ,Two-tailed Swallowtail,7,35,5
1986,8,30,AtascosaHighlandsAZ,Black Swallowtail,10,35,5
1986,8,30,AtascosaHighlandsAZ,Large Orange Sulphur,4,35,5
1986,8,30,AtascosaHighlandsAZ,Cloudless Sulphur,484,35,5
1986,8,30,AtascosaHighlandsAZ,Common Sootywing,3,35,5
1986,8,30,AtascosaHighlandsAZ,Texan Crescent,5,35,5
1986,8,30,AtascosaHighlandsAZ,Checkered White,8,35,5
1986,8,30,AtascosaHighlandsAZ,White Checkered-Skipper,8,35,5
1986,8,30,AtascosaHighlandsAZ,Desert Checkered-Skipper,12,35,5
1986,8,30,AtascosaHighlandsAZ,Dull Firetip,163,35,5
1986,8,30,AtascosaHighlandsAZ,Golden-headed Scallopwing,30,35,5
1986,8,30,AtascosaHighlandsAZ,Gray Hairstreak,60,35,5
