Site,year,Mseason_tmean,Mseason_tmin,Mseason_tmax,Mseason_precip,previous_Mseason_precip
GrandCanyonSouthRim,2017,18.453655913978494,-4.2,34.5,101.85000000000001,187.65
GrandCanyonSouthRim,2018,19.478817204301077,3.3,33.8,145.66,101.85000000000001
GrandCanyonSouthRim,2019,18.975017921146954,0,33.9,48.89,145.66
GrandCanyonSouthRim,2020,19.965770609318998,-0.5,35.3,33.6,48.89
GrandCanyonSouthRim,2021,19.701612903225808,1.7,37.8,153.2,33.6
GuadalupeCanyonAZNM,1981,NA,NA,NA,NA,NA
GuadalupeCanyonAZNM,1982,NA,NA,NA,NA,NA
GuadalupeCanyonAZNM,1983,NA,NA,NA,NA,NA
GuadalupeCanyonAZNM,1984,NA,NA,NA,NA,NA
GuadalupeCanyonAZNM,1985,NA,NA,NA,NA,NA
GuadalupeCanyonAZNM,1986,NA,NA,NA,NA,NA
GuadalupeCanyonAZNM,1987,NA,NA,NA,NA,NA
GuadalupeCanyonAZNM,1988,NA,NA,NA,NA,NA
GuadalupeCanyonAZNM,1989,NA,NA,NA,NA,NA
GuadalupeCanyonAZNM,1990,NA,NA,NA,NA,NA
GuadalupeCanyonAZNM,1991,NA,NA,NA,NA,NA
GuadalupeCanyonAZNM,1992,NA,NA,NA,NA,NA
GuadalupeCanyonAZNM,1993,NA,NA,NA,NA,NA
GuadalupeCanyonAZNM,1994,NA,NA,NA,NA,NA
GuadalupeCanyonAZNM,1995,NA,NA,NA,NA,NA
GuadalupeCanyonAZNM,1996,NA,NA,NA,NA,NA
GuadalupeCanyonAZNM,1997,NA,NA,NA,NA,NA
GuadalupeCanyonAZNM,1998,NA,NA,NA,NA,NA
GuadalupeCanyonAZNM,1999,NA,NA,NA,NA,NA
GuadalupeCanyonAZNM,2000,NA,NA,NA,NA,NA
GuadalupeCanyonAZNM,2001,NA,NA,NA,NA,NA
GuadalupeCanyonAZNM,2002,NA,NA,NA,NA,NA
GuadalupeCanyonAZNM,2003,NA,NA,NA,NA,NA
GuadalupeCanyonAZNM,2004,NA,NA,NA,NA,NA
GuadalupeCanyonAZNM,2005,NA,NA,NA,NA,NA
GuadalupeCanyonAZNM,2006,NA,NA,NA,NA,NA
GuadalupeCanyonAZNM,2007,NA,NA,NA,NA,NA
GuadalupeCanyonAZNM,2008,NA,NA,NA,NA,NA
GuadalupeCanyonAZNM,2009,NA,NA,NA,NA,NA
GuadalupeCanyonAZNM,2010,NA,NA,NA,NA,NA
GuadalupeCanyonAZNM,2011,NA,NA,NA,NA,NA
GuadalupeCanyonAZNM,2012,NA,NA,NA,NA,NA
GuadalupeCanyonAZNM,2013,NA,NA,NA,NA,NA
GuadalupeCanyonAZNM,2014,NA,NA,NA,NA,NA
GuadalupeCanyonAZNM,2015,NA,NA,NA,NA,NA
GuadalupeCanyonAZNM,2016,NA,NA,NA,NA,NA
GuadalupeCanyonAZNM,2017,NA,NA,NA,NA,NA
GuadalupeCanyonAZNM,2018,NA,NA,NA,NA,NA
GuadalupeCanyonAZNM,2019,NA,NA,NA,NA,NA
GuadalupeCanyonAZNM,2020,NA,NA,NA,NA,NA
GuadalupeCanyonAZNM,2021,NA,NA,NA,NA,NA
