Year,Month,Day,Site,NABAEnglishName,LatinAnalysisName,ButterflyCount,#Parties,PartyHours
2017,7,23,PortalAZ,Acmon Blue,Plebejus_acmon_,1,3,20
2017,7,23,PortalAZ,American Lady,Vanessa_virginiensis  ,4,3,20
2017,7,23,PortalAZ,Black Swallowtail,Papilio_polyxenes  ,8,3,20
2017,7,23,PortalAZ,Bordered Patch,Chlosyne_lacinia  ,1,3,20
2017,7,23,PortalAZ,Bronze Roadside-Skipper,Amblyscirtes_aenus  ,10,3,20
2017,7,23,PortalAZ,California Sister,Adelpha_bredowii  ,1,3,20
2017,7,23,PortalAZ,Cassus Roadside-Skipper,Amblyscirtes_cassus  ,2,3,20
2017,7,23,PortalAZ,Ceraunus Blue,Hemiargus_ceraunus  ,12,3,20
2017,7,23,PortalAZ,Checkered White,Pontia_protodice  ,1,3,20
2017,7,23,PortalAZ,Cloudless Sulphur,Phoebis_sennae  ,1,3,20
2017,7,23,PortalAZ,Common Buckeye,Junonia_coenia  ,5,3,20
2017,7,23,PortalAZ,Common Sootywing,Pholisora_catullus  ,22,3,20
2017,7,23,PortalAZ,Common/White Checkered-Skipper,Pyrgus_sp.  ,5,3,20
2017,7,23,PortalAZ,Dainty Sulphur,Nathalis_iole  ,1,3,20
2017,7,23,PortalAZ,Desert Cloudywing,Achalarus_casica  ,2,3,20
2017,7,23,PortalAZ,Dotted Roadside-Skipper,Amblyscirtes_eos  ,1,3,20
2017,7,23,PortalAZ,Drusius Cloudywing,Thorybes_drusius ,6,3,20
2017,7,23,PortalAZ,Dull Firetip,Pyrrhopyge_araxes  ,2,3,20
2017,7,23,PortalAZ,Elada Checkerspot,Texola_elada  ,1,3,20
2017,7,23,PortalAZ,Elissa Roadside-Skipper,Amblyscirtes_elissa  ,3,3,20
2017,7,23,PortalAZ,Fatal Metalmark,Calephelis_nemesis  ,6,3,20
2017,7,23,PortalAZ,Four-spotted Skipperling,Piruna_polingi  ,1,3,20
2017,7,23,PortalAZ,Funereal Duskywing,Erynnis_funeralis  ,5,3,20
2017,7,23,PortalAZ,Golden Banded-Skipper,Autochton_cellus  ,14,3,20
2017,7,23,PortalAZ,Golden-headed Scallopwing,Staphylus_ceos  ,5,3,20
2017,7,23,PortalAZ,Gray Hairstreak,Strymon_melinus  ,19,3,20
2017,7,23,PortalAZ,Large Roadside-Skipper,Amblyscirtes_exoteria  ,5,3,20
2017,7,23,PortalAZ,Leda Ministreak,Ministrymon_leda  ,28,3,20
2017,7,23,PortalAZ,Marine Blue,Leptotes_marina  ,46,3,20
2017,7,23,PortalAZ,Mexican Yellow,Eurema_mexicana  ,2,3,20
2017,7,23,PortalAZ,Monarch,Danaus_plexippus ,3,3,20
2017,7,23,PortalAZ,Moon-marked Skipper,Atrytonopsis_lunus  ,2,3,20
2017,7,23,PortalAZ,Mylitta Crescent,Phyciodes_mylitta  ,1,3,20
2017,7,23,PortalAZ,Northern Cloudywing,Thorybes_pylades  ,21,3,20
2017,7,23,PortalAZ,Nysa Roadside-Skipper,Amblyscirtes_nysa  ,1,3,20
2017,7,23,PortalAZ,Orange Skipperling,Copaeodes_aurantiacus  ,11,3,20
2017,7,23,PortalAZ,Orange Sulphur,Colias_eurytheme  ,10,3,20
2017,7,23,PortalAZ,Orange-edged Roadside-Skipper,Amblyscirtes_fimbriata  ,20,3,20
2017,7,23,PortalAZ,Pacuvius Duskywing,Erynnis_pacuvius ,3,3,20
2017,7,23,PortalAZ,Painted Lady,Vanessa_cardui  ,10,3,20
2017,7,23,PortalAZ,Pipevine Swallowtail,Battus_philenor  ,5,3,20
2017,7,23,PortalAZ,Queen,Danaus_gilippus ,19,3,20
2017,7,23,PortalAZ,Reakirt's Blue,Hemiargus_isola  ,60,3,20
2017,7,23,PortalAZ,Red Admiral,Vanessa_atalanta  ,3,3,20
2017,7,23,PortalAZ,Red Satyr,Megisto_rubricata  ,9,3,20
2017,7,23,PortalAZ,Red-spotted Purple,Limenitis_arthemis_astyanax  ,2,3,20
2017,7,23,PortalAZ,Satyr Comma,Polygonia_satyrus  ,1,3,20
2017,7,23,PortalAZ,Silver-spotted Skipper,Epargyreus_clarus ,1,3,20
2017,7,23,PortalAZ,Siva Juniper Hairstreak,Callophrys_gryneus_siva  ,3,3,20
2017,7,23,PortalAZ,Slaty Roadside-Skipper,Amblyscirtes_nereus  ,7,3,20
2017,7,23,PortalAZ,Sleepy Orange,Eurema_nicippe  ,14,3,20
2017,7,23,PortalAZ,Southern Dogface,Colias_cesonia  ,4,3,20
2017,7,23,PortalAZ,Spring Azure,Celastrina_ladon  ,4,3,20
2017,7,23,PortalAZ,Taxiles Skipper,Poanes_taxiles  ,57,3,20
2017,7,23,PortalAZ,Texas Roadside-Skipper,Amblyscirtes_texanae  ,4,3,20
2017,7,23,PortalAZ,Thicket Hairstreak,Callophrys_spinetorum  ,1,3,20
2017,7,23,PortalAZ,Two-tailed Swallowtail,Papilio_multicaudata  ,5,3,20
2017,7,23,PortalAZ,Variegated Fritillary,Euptoieta_claudia  ,2,3,20
2017,7,23,PortalAZ,Western Pygmy-Blue,Brephidium_exile  ,1,3,20
2018,7,27,PortalAZ,Acacia Skipper,Cogia_hippalus  ,4,4,26.5
2018,7,27,PortalAZ,Acmon Blue,Plebejus_acmon_,1,4,26.5
2018,7,27,PortalAZ,American Lady,Vanessa_virginiensis  ,2,4,26.5
2018,7,27,PortalAZ,American Snout,Libytheana_carinenta  ,2,4,26.5
2018,7,27,PortalAZ,Barred Yellow,Eurema_daira  ,1,4,26.5
2018,7,27,PortalAZ,Black Swallowtail,Papilio_polyxenes  ,2,4,26.5
2018,7,27,PortalAZ,Bordered Patch,Chlosyne_lacinia  ,9,4,26.5
2018,7,27,PortalAZ,Bronze Roadside-Skipper,Amblyscirtes_aenus  ,21,4,26.5
2018,7,27,PortalAZ,California Sister,Adelpha_bredowii  ,3,4,26.5
2018,7,27,PortalAZ,Cassus Roadside-Skipper,Amblyscirtes_cassus  ,2,4,26.5
2018,7,27,PortalAZ,Ceraunus Blue,Hemiargus_ceraunus  ,21,4,26.5
2018,7,27,PortalAZ,Checkered White,Pontia_protodice  ,6,4,26.5
2018,7,27,PortalAZ,Clouded Sulphur,Colias_philodice ,12,4,26.5
2018,7,27,PortalAZ,Cloudless Sulphur,Phoebis_sennae  ,139,4,26.5
2018,7,27,PortalAZ,Common Sootywing,Pholisora_catullus  ,105,4,26.5
2018,7,27,PortalAZ,Common Streaky-Skipper,Celotes_nessus  ,1,4,26.5
2018,7,27,PortalAZ,Common/White Checkered-Skipper,Pyrgus_sp.  ,3,4,26.5
2018,7,27,PortalAZ,Dainty Sulphur,Nathalis_iole  ,4,4,26.5
2018,7,27,PortalAZ,Dotted Roadside-Skipper,Amblyscirtes_eos  ,21,4,26.5
2018,7,27,PortalAZ,Drusius Cloudywing,Thorybes_drusius ,5,4,26.5
2018,7,27,PortalAZ,Dull Firetip,Pyrrhopyge_araxes  ,6,4,26.5
2018,7,27,PortalAZ,Edwards' Skipperling,Oarisma_edwardsii  ,2,4,26.5
2018,7,27,PortalAZ,Elada Checkerspot,Texola_elada  ,18,4,26.5
2018,7,27,PortalAZ,Elissa Roadside-Skipper,Amblyscirtes_elissa  ,7,4,26.5
2018,7,27,PortalAZ,Four-spotted Skipperling,Piruna_polingi  ,19,4,26.5
2018,7,27,PortalAZ,Funereal Duskywing,Erynnis_funeralis  ,3,4,26.5
2018,7,27,PortalAZ,Golden Banded-Skipper,Autochton_cellus  ,11,4,26.5
2018,7,27,PortalAZ,Golden-headed Scallopwing,Staphylus_ceos  ,27,4,26.5
2018,7,27,PortalAZ,Gray Hairstreak,Strymon_melinus  ,4,4,26.5
2018,7,27,PortalAZ,Juvenal's Duskywing,Erynnis_juvenalis  ,1,4,26.5
2018,7,27,PortalAZ,Large Roadside-Skipper,Amblyscirtes_exoteria  ,7,4,26.5
2018,7,27,PortalAZ,Leda Ministreak,Ministrymon_leda  ,2,4,26.5
2018,7,27,PortalAZ,Marine Blue,Leptotes_marina  ,5,4,26.5
2018,7,27,PortalAZ,Mexican Yellow,Eurema_mexicana  ,2,4,26.5
2018,7,27,PortalAZ,Monarch,Danaus_plexippus ,5,4,26.5
2018,7,27,PortalAZ,Moon-marked Skipper,Atrytonopsis_lunus  ,2,4,26.5
2018,7,27,PortalAZ,Mournful Duskywing,Erynnis_tristis  ,2,4,26.5
2018,7,27,PortalAZ,Mylitta Crescent,Phyciodes_mylitta  ,10,4,26.5
2018,7,27,PortalAZ,Nabokov's Satyr,Cyllopsis_pyracmon  ,1,4,26.5
2018,7,27,PortalAZ,Nais Metalmark,Apodemia_nais  ,1,4,26.5
2018,7,27,PortalAZ,Northern Cloudywing,Thorybes_pylades  ,130,4,26.5
2018,7,27,PortalAZ,Nysa Roadside-Skipper,Amblyscirtes_nysa  ,12,4,26.5
2018,7,27,PortalAZ,Orange Sulphur,Colias_eurytheme  ,155,4,26.5
2018,7,27,PortalAZ,Orange-edged Roadside-Skipper,Amblyscirtes_fimbriata  ,12,4,26.5
2018,7,27,PortalAZ,Pacuvius Duskywing,Erynnis_pacuvius ,5,4,26.5
2018,7,27,PortalAZ,Painted Lady,Vanessa_cardui  ,1,4,26.5
2018,7,27,PortalAZ,Pipevine Swallowtail,Battus_philenor  ,13,4,26.5
2018,7,27,PortalAZ,Queen,Danaus_gilippus ,16,4,26.5
2018,7,27,PortalAZ,Reakirt's Blue,Hemiargus_isola  ,47,4,26.5
2018,7,27,PortalAZ,Red Satyr,Megisto_rubricata  ,6,4,26.5
2018,7,27,PortalAZ,Silver-spotted Skipper,Epargyreus_clarus ,5,4,26.5
2018,7,27,PortalAZ,Siva Juniper Hairstreak,Callophrys_gryneus_siva  ,10,4,26.5
2018,7,27,PortalAZ,Slaty Roadside-Skipper,Amblyscirtes_nereus  ,6,4,26.5
2018,7,27,PortalAZ,Sleepy Orange,Eurema_nicippe  ,1,4,26.5
2018,7,27,PortalAZ,Snow's Skipper,Paratrytone_snowi  ,6,4,26.5
2018,7,27,PortalAZ,Southern Dogface,Colias_cesonia  ,5,4,26.5
2018,7,27,PortalAZ,Spring Azure,Celastrina_ladon  ,3,4,26.5
2018,7,27,PortalAZ,Tailed Orange,Eurema_proterpia  ,10,4,26.5
2018,7,27,PortalAZ,Taxiles Skipper,Poanes_taxiles  ,19,4,26.5
2018,7,27,PortalAZ,Thicket Hairstreak,Callophrys_spinetorum  ,1,4,26.5
2018,7,27,PortalAZ,Tiny Checkerspot,Dymasia_dymas  ,7,4,26.5
2018,7,27,PortalAZ,Two-tailed Swallowtail,Papilio_multicaudata  ,25,4,26.5
2018,7,27,PortalAZ,Variegated Fritillary,Euptoieta_claudia  ,9,4,26.5
2018,7,27,PortalAZ,Western Pygmy-Blue,Brephidium_exile  ,1,4,26.5
1979,7,15,RamseyCanyonAZ,Acmon Blue,Plebejus_acmon_,10,4,32
1979,7,15,RamseyCanyonAZ,American Lady,Vanessa_virginiensis  ,9,4,32
1979,7,15,RamseyCanyonAZ,American Snout,Libytheana_carinenta  ,1,4,32
1979,7,15,RamseyCanyonAZ,Ares Metalmark,Emesis_ares  ,2,4,32
1979,7,15,RamseyCanyonAZ,Arizona Hairstreak,Erora_quaderna  ,1,4,32
1979,7,15,RamseyCanyonAZ,Black Checkerspot,Thessalia_cyneas  ,2,4,32
1979,7,15,RamseyCanyonAZ,Black Swallowtail,Papilio_polyxenes  ,2,4,32
1979,7,15,RamseyCanyonAZ,Bordered Patch,Chlosyne_lacinia  ,13,4,32
1979,7,15,RamseyCanyonAZ,Bronze Roadside-Skipper,Amblyscirtes_aenus  ,6,4,32
1979,7,15,RamseyCanyonAZ,California Sister,Adelpha_bredowii  ,34,4,32
1979,7,15,RamseyCanyonAZ,Canyonland Satyr,Cyllopsis_pertepida  ,15,4,32
1979,7,15,RamseyCanyonAZ,Cassus Roadside-Skipper,Amblyscirtes_cassus  ,30,4,32
1979,7,15,RamseyCanyonAZ,Checkered White,Pontia_protodice  ,1000,4,32
1979,7,15,RamseyCanyonAZ,Chiricahua White,Neophasia_terlootii  ,1,4,32
1979,7,15,RamseyCanyonAZ,Common Buckeye,Junonia_coenia  ,11,4,32
1979,7,15,RamseyCanyonAZ,Common Checkered-Skipper,Pyrgus_communis  ,38,4,32
1979,7,15,RamseyCanyonAZ,Common Sootywing,Pholisora_catullus  ,1,4,32
1979,7,15,RamseyCanyonAZ,Dainty Sulphur,Nathalis_iole  ,11,4,32
1979,7,15,RamseyCanyonAZ,Edwards' Skipperling,Oarisma_edwardsii  ,1,4,32
1979,7,15,RamseyCanyonAZ,Fiery Skipper,Hylephila_phyleus  ,7,4,32
1979,7,15,RamseyCanyonAZ,Funereal Duskywing,Erynnis_funeralis  ,3,4,32
1979,7,15,RamseyCanyonAZ,Golden Banded-Skipper,Autochton_cellus  ,2,4,32
1979,7,15,RamseyCanyonAZ,Golden-headed Scallopwing,Staphylus_ceos  ,7,4,32
1979,7,15,RamseyCanyonAZ,Gray Hairstreak,Strymon_melinus  ,30,4,32
1979,7,15,RamseyCanyonAZ,Gulf Fritillary,Agraulis_vanillae  ,1,4,32
1979,7,15,RamseyCanyonAZ,Juvenal's Duskywing,Erynnis_juvenalis  ,6,4,32
1979,7,15,RamseyCanyonAZ,Large Roadside-Skipper,Amblyscirtes_exoteria  ,16,4,32
1979,7,15,RamseyCanyonAZ,Leda Ministreak,Ministrymon_leda  ,18,4,32
1979,7,15,RamseyCanyonAZ,Marine Blue,Leptotes_marina  ,192,4,32
1979,7,15,RamseyCanyonAZ,Mexican Yellow,Eurema_mexicana  ,114,4,32
1979,7,15,RamseyCanyonAZ,Monarch,Danaus_plexippus ,5,4,32
1979,7,15,RamseyCanyonAZ,Moon-marked Skipper,Atrytonopsis_lunus  ,6,4,32
1979,7,15,RamseyCanyonAZ,Mournful Duskywing,Erynnis_tristis  ,6,4,32
1979,7,15,RamseyCanyonAZ,Mourning Cloak,Nymphalis_antiopa  ,8,4,32
1979,7,15,RamseyCanyonAZ,Mylitta Crescent,Phyciodes_mylitta  ,3,4,32
1979,7,15,RamseyCanyonAZ,Nabokov's Satyr,Cyllopsis_pyracmon  ,4,4,32
1979,7,15,RamseyCanyonAZ,Northern Cloudywing,Thorybes_pylades  ,25,4,32
1979,7,15,RamseyCanyonAZ,Nysa Roadside-Skipper,Amblyscirtes_nysa  ,1,4,32
1979,7,15,RamseyCanyonAZ,Orange Skipperling,Copaeodes_aurantiacus  ,12,4,32
1979,7,15,RamseyCanyonAZ,Orange Sulphur,Colias_eurytheme  ,65,4,32
1979,7,15,RamseyCanyonAZ,Orange-edged Roadside-Skipper,Amblyscirtes_fimbriata  ,27,4,32
1979,7,15,RamseyCanyonAZ,Pacuvius Duskywing,Erynnis_pacuvius ,1,4,32
1979,7,15,RamseyCanyonAZ,Painted Lady,Vanessa_cardui  ,3,4,32
1979,7,15,RamseyCanyonAZ,Pine Satyr,Paramacera_allyni  ,3,4,32
1979,7,15,RamseyCanyonAZ,Pipevine Swallowtail,Battus_philenor  ,147,4,32
1979,7,15,RamseyCanyonAZ,Queen,Danaus_gilippus ,131,4,32
1979,7,15,RamseyCanyonAZ,Reakirt's Blue,Hemiargus_isola  ,5,4,32
1979,7,15,RamseyCanyonAZ,Red Admiral,Vanessa_atalanta  ,2,4,32
1979,7,15,RamseyCanyonAZ,Red Satyr,Megisto_rubricata  ,16,4,32
1979,7,15,RamseyCanyonAZ,Red-spotted Purple,Limenitis_arthemis_astyanax  ,23,4,32
1979,7,15,RamseyCanyonAZ,Saltbush Sootywing,Hesperopsis_alpheus  ,4,4,32
1979,7,15,RamseyCanyonAZ,Satyr Comma,Polygonia_satyrus  ,1,4,32
1979,7,15,RamseyCanyonAZ,Silver-spotted Skipper,Epargyreus_clarus ,6,4,32
1979,7,15,RamseyCanyonAZ,Siva Juniper Hairstreak,Callophrys_gryneus_siva  ,1,4,32
1979,7,15,RamseyCanyonAZ,Sleepy Orange,Eurema_nicippe  ,81,4,32
1979,7,15,RamseyCanyonAZ,Small Checkered-Skipper,Pyrgus_scriptura  ,1,4,32
1979,7,15,RamseyCanyonAZ,Southern Dogface,Colias_cesonia  ,5,4,32
1979,7,15,RamseyCanyonAZ,Spring Azure,Celastrina_ladon  ,22,4,32
1979,7,15,RamseyCanyonAZ,Taxiles Skipper,Poanes_taxiles  ,118,4,32
1979,7,15,RamseyCanyonAZ,Texan Crescent,Phyciodes_texana  ,13,4,32
1979,7,15,RamseyCanyonAZ,Theona Checkerspot,Thessalia_theona  ,1,4,32
1979,7,15,RamseyCanyonAZ,Tropical Buckeye,Junonia_genoveva  ,3,4,32
1979,7,15,RamseyCanyonAZ,Two-tailed Swallowtail,Papilio_multicaudata  ,31,4,32
1979,7,15,RamseyCanyonAZ,Variegated Fritillary,Euptoieta_claudia  ,12,4,32
1979,7,15,RamseyCanyonAZ,Western Pygmy-Blue,Brephidium_exile  ,2,4,32
1979,7,15,RamseyCanyonAZ,Zela Metalmark,Emesis_zela  ,19,4,32
1980,7,13,RamseyCanyonAZ,Acacia Skipper,Cogia_hippalus  ,3,3,17
1980,7,13,RamseyCanyonAZ,Acmon Blue,Plebejus_acmon_,2,3,17
1980,7,13,RamseyCanyonAZ,American Lady,Vanessa_virginiensis  ,13,3,17
1980,7,13,RamseyCanyonAZ,Bordered Patch,Chlosyne_lacinia  ,2,3,17
1980,7,13,RamseyCanyonAZ,Bronze Roadside-Skipper,Amblyscirtes_aenus  ,12,3,17
1980,7,13,RamseyCanyonAZ,California Sister,Adelpha_bredowii  ,4,3,17
1980,7,13,RamseyCanyonAZ,Cassus Roadside-Skipper,Amblyscirtes_cassus  ,19,3,17
1980,7,13,RamseyCanyonAZ,Ceraunus Blue,Hemiargus_ceraunus  ,6,3,17
1980,7,13,RamseyCanyonAZ,Checkered White,Pontia_protodice  ,4,3,17
1980,7,13,RamseyCanyonAZ,Common Checkered-Skipper,Pyrgus_communis  ,15,3,17
1980,7,13,RamseyCanyonAZ,Dainty Sulphur,Nathalis_iole  ,1,3,17
1980,7,13,RamseyCanyonAZ,Elada Checkerspot,Texola_elada  ,4,3,17
1980,7,13,RamseyCanyonAZ,Fiery Skipper,Hylephila_phyleus  ,3,3,17
1980,7,13,RamseyCanyonAZ,Funereal Duskywing,Erynnis_funeralis  ,2,3,17
1980,7,13,RamseyCanyonAZ,Golden Banded-Skipper,Autochton_cellus  ,1,3,17
1980,7,13,RamseyCanyonAZ,Golden-headed Scallopwing,Staphylus_ceos  ,3,3,17
1980,7,13,RamseyCanyonAZ,Gray Hairstreak,Strymon_melinus  ,15,3,17
1980,7,13,RamseyCanyonAZ,Juvenal's Duskywing,Erynnis_juvenalis  ,3,3,17
1980,7,13,RamseyCanyonAZ,Leda Ministreak,Ministrymon_leda  ,6,3,17
1980,7,13,RamseyCanyonAZ,Marine Blue,Leptotes_marina  ,1515,3,17
1980,7,13,RamseyCanyonAZ,Mexican Yellow,Eurema_mexicana  ,30,3,17
1980,7,13,RamseyCanyonAZ,Monarch,Danaus_plexippus ,2,3,17
1980,7,13,RamseyCanyonAZ,Mournful Duskywing,Erynnis_tristis  ,9,3,17
1980,7,13,RamseyCanyonAZ,Mourning Cloak,Nymphalis_antiopa  ,18,3,17
1980,7,13,RamseyCanyonAZ,Mylitta Crescent,Phyciodes_mylitta  ,2,3,17
1980,7,13,RamseyCanyonAZ,Nabokov's Satyr,Cyllopsis_pyracmon  ,15,3,17
1980,7,13,RamseyCanyonAZ,Northern Cloudywing,Thorybes_pylades  ,3,3,17
1980,7,13,RamseyCanyonAZ,Nysa Roadside-Skipper,Amblyscirtes_nysa  ,1,3,17
1980,7,13,RamseyCanyonAZ,Orange Skipperling,Copaeodes_aurantiacus  ,4,3,17
