Year,Month,Day,Site,NABAEnglishName,LatinAnalysisName,ButterflyCount,PartyHours,#Observers,#Parties,TotalDistanceMi
2018,4,3,Sabino Canyon,Elada Checkerspot,Texola_elada  ,8,51.5,21,9,33
2018,4,3,Sabino Canyon,Texan Crescent,Phyciodes_texana  ,10,51.5,21,9,33
2018,4,3,Sabino Canyon,Mylitta Crescent,Phyciodes_mylitta  ,1,51.5,21,9,33
2018,4,3,Sabino Canyon,Mourning Cloak,Nymphalis_antiopa  ,2,51.5,21,9,33
2018,4,3,Sabino Canyon,Red-spotted Purple,Limenitis_arthemis_astyanax  ,6,51.5,21,9,33
2018,4,3,Sabino Canyon,California Sister,Adelpha_bredowii  ,1,51.5,21,9,33
2018,4,3,Sabino Canyon,Empress Leilia,Asterocampa_leilia  ,14,51.5,21,9,33
2018,4,3,Sabino Canyon,Queen,Danaus_gilippus ,8,51.5,21,9,33
2018,4,3,Sabino Canyon,Desert Cloudywing,Achalarus_casica  ,3,51.5,21,9,33
2018,4,3,Sabino Canyon,Golden-headed Scallopwing,Staphylus_ceos  ,14,51.5,21,9,33
2018,4,3,Sabino Canyon,Arizona Powdered-Skipper,Systasea_zampa  ,8,51.5,21,9,33
2018,4,3,Sabino Canyon,Sleepy Duskywing,Erynnis_brizo ,2,51.5,21,9,33
2018,4,3,Sabino Canyon,Meridian Duskywing,Erynnis_meridianus  ,3,51.5,21,9,33
2018,4,3,Sabino Canyon,Mournful Duskywing,Erynnis_tristis  ,7,51.5,21,9,33
2018,4,3,Sabino Canyon,Pacuvius Duskywing,Erynnis_pacuvius ,27,51.5,21,9,33
2018,4,3,Sabino Canyon,Funereal Duskywing,Erynnis_funeralis  ,5,51.5,21,9,33
2018,4,3,Sabino Canyon,"Unidentified Firetip, Skipper, Duskywing, Skipperling, or Giant Skipper",Hesperiidae_sp,1,51.5,21,9,33
2018,4,3,Sabino Canyon,Desert Checkered-Skipper,Pyrgus_philetas  ,1,51.5,21,9,33
2018,4,3,Sabino Canyon,Common Streaky-Skipper,Celotes_nessus  ,24,51.5,21,9,33
2018,4,3,Sabino Canyon,Common Sootywing,Pholisora_catullus  ,2,51.5,21,9,33
2018,4,3,Sabino Canyon,Orange Skipperling,Copaeodes_aurantiacus  ,8,51.5,21,9,33
2018,4,3,Sabino Canyon,Fiery Skipper,Hylephila_phyleus  ,5,51.5,21,9,33
2018,4,3,Sabino Canyon,White-barred Skipper,Atrytonopsis_pittacus  ,22,51.5,21,9,33
2018,4,3,Sabino Canyon,Sheep Skipper,Atrytonopsis_edwardsii  ,1,51.5,21,9,33
2018,7,31,Sabino Canyon,Pipevine Swallowtail,Battus_philenor  ,83,33.5,14,6,15
2018,7,31,Sabino Canyon,Black Swallowtail,Papilio_polyxenes  ,1,33.5,14,6,15
