Year,Month,Day,Site,NABAEnglishName,ButterflyCount,PartyHours,#Observers,#Parties,TotalDistanceMi
2021,8,2,Ramsey Canyon,Elada checkerspot,14,48,12,8,48
2021,8,2,Ramsey Canyon,Fatal metalmark,3,48,12,8,48
2021,8,2,Ramsey Canyon,Fiery skipper,3,48,12,8,48
2021,8,2,Ramsey Canyon,Four-spotted skipperling,2,48,12,8,48
2021,8,2,Ramsey Canyon,Funereal duskywing,8,48,12,8,48
2021,8,2,Ramsey Canyon,Gold-costa skipper,3,48,12,8,48
2021,8,2,Ramsey Canyon,Golden banded-skipper,1,48,12,8,48
2021,8,2,Ramsey Canyon,Golden-headed scallopwing,10,48,12,8,48
2021,8,2,Ramsey Canyon,Gray hairstreak,1,48,12,8,48
2021,8,2,Ramsey Canyon,Great purple hairstreak,2,48,12,8,48
2021,8,2,Ramsey Canyon,Gulf fritillary,8,48,12,8,48
2021,8,2,Ramsey Canyon,Hackberry emperor,1,48,12,8,48
2021,8,2,Ramsey Canyon,Hammock skipper,1,48,12,8,48
2021,8,2,Ramsey Canyon,Juvenal's duskywing,1,48,12,8,48
2021,8,2,Ramsey Canyon,Leda ministreak,29,48,12,8,48
2021,8,2,Ramsey Canyon,Marine blue,55,48,12,8,48
2021,8,2,Ramsey Canyon,Mexican yellow,22,48,12,8,48
2021,8,2,Ramsey Canyon,Monarch,5,48,12,8,48
2021,8,2,Ramsey Canyon,Mournful duskywing,6,48,12,8,48
2021,8,2,Ramsey Canyon,Nais metalmark,4,48,12,8,48
2021,8,2,Ramsey Canyon,Northern cloudywing,5,48,12,8,48
2021,8,2,Ramsey Canyon,Orange skipperling,8,48,12,8,48
2021,8,2,Ramsey Canyon,Orange sulphur,55,48,12,8,48
2021,8,2,Ramsey Canyon,Painted crescent,11,48,12,8,48
2021,8,2,Ramsey Canyon,Painted lady,5,48,12,8,48
2021,8,2,Ramsey Canyon,Palmer’s metalmark,3,48,12,8,48
2021,8,2,Ramsey Canyon,Pearl crescent,4,48,12,8,48
2021,8,2,Ramsey Canyon,Pipevine swallowtail,38,48,12,8,48
2021,8,2,Ramsey Canyon,Queen,35,48,12,8,48
2021,8,2,Ramsey Canyon,Reakirt's blue,7,48,12,8,48
2021,8,2,Ramsey Canyon,Red admiral,2,48,12,8,48
2021,8,2,Ramsey Canyon,Red satyr,3,48,12,8,48
2021,8,2,Ramsey Canyon,Red-spotted purple,6,48,12,8,48
2021,8,2,Ramsey Canyon,Sachem,1,48,12,8,48
2021,8,2,Ramsey Canyon,Saltbush sootywing,3,48,12,8,48
2021,8,2,Ramsey Canyon,Short tailed skipper,2,48,12,8,48
2021,8,2,Ramsey Canyon,Silver-spotted skipper,1,48,12,8,48
2021,8,2,Ramsey Canyon,Siva juniper hairstreak,3,48,12,8,48
2021,8,2,Ramsey Canyon,Sleepy orange,208,48,12,8,48
2021,8,2,Ramsey Canyon,Southern dogface,6,48,12,8,48
2021,8,2,Ramsey Canyon,Spring azure,26,48,12,8,48
2021,8,2,Ramsey Canyon,Taxiles skipper,3,48,12,8,48
2021,8,2,Ramsey Canyon,Theona checkerspot,7,48,12,8,48
2021,8,2,Ramsey Canyon,Tiny checkerspot,2,48,12,8,48
2021,8,2,Ramsey Canyon,Two-tailed swallowtail,16,48,12,8,48
2021,8,2,Ramsey Canyon,Variegated fritillary,60,48,12,8,48
2021,8,2,Ramsey Canyon,Western pygmy blue,28,48,12,8,48
2021,8,2,Ramsey Canyon,Zela metalmark,8,48,12,8,48
2021,3,28,Sabino Canyon,American snout,3,49,24,12,39
2021,3,28,Sabino Canyon,Brown elfin,44,49,24,12,39
2021,3,28,Sabino Canyon,Callophrys spinetorum,1,49,24,12,39
2021,3,28,Sabino Canyon,Common streaky skipper,1,49,24,12,39
2021,3,28,Sabino Canyon,Desert pearly marble,43,49,24,12,39
2021,3,28,Sabino Canyon,Empress leilia,14,49,24,12,39
2021,3,28,Sabino Canyon,Eufala skipper,1,49,24,12,39
2021,3,28,Sabino Canyon,Fiery skipper,10,49,24,12,39
2021,3,28,Sabino Canyon,Fulvia checkerspot,2,49,24,12,39
2021,3,28,Sabino Canyon,Funereal duskywing,1,49,24,12,39
2021,3,28,Sabino Canyon,Golden-headed scallopwing,1,49,24,12,39
2021,3,28,Sabino Canyon,Gray hairstreak,1,49,24,12,39
2021,3,28,Sabino Canyon,Great purple hairstreak,3,49,24,12,39
2021,3,28,Sabino Canyon,Gulf fritillary,2,49,24,12,39
2021,3,28,Sabino Canyon,Marine blue,62,49,24,12,39
2021,3,28,Sabino Canyon,Mournful duskywing,1,49,24,12,39
2021,3,28,Sabino Canyon,Mourning cloak,2,49,24,12,39
2021,3,28,Sabino Canyon,Painted lady,7,49,24,12,39
2021,3,28,Sabino Canyon,Sagebrush checkerspot,42,49,24,12,39
2021,3,28,Sabino Canyon,Sara orangetip,86,49,24,12,39
2021,3,28,Sabino Canyon,Siva juniper hairstreak,3,49,24,12,39
2021,3,28,Sabino Canyon,Sleepy duskywing,2,49,24,12,39
2021,3,28,Sabino Canyon,Sleepy orange,1,49,24,12,39
2021,3,28,Sabino Canyon,Spring azure,1,49,24,12,39
2021,3,28,Sabino Canyon,Spring white,3,49,24,12,39
2021,3,28,Sabino Canyon,Tiny checkerspot,34,49,24,12,39
2021,3,28,Sabino Canyon,Two-tailed swallowtail,2,49,24,12,39
2021,7,26,Sabino Canyon,Acacia skipper,1,49.5,20,11,39
2021,7,26,Sabino Canyon,Acmon blue,1,49.5,20,11,39
2021,7,26,Sabino Canyon,American snout,7,49.5,20,11,39
2021,7,26,Sabino Canyon,Arizona hairstreak,2,49.5,20,11,39
2021,7,26,Sabino Canyon,California sister,2,49.5,20,11,39
2021,7,26,Sabino Canyon,Callophrys spinetorum,2,49.5,20,11,39
2021,7,26,Sabino Canyon,Ceraunus blue,9,49.5,20,11,39
2021,7,26,Sabino Canyon,Checkered white,9,49.5,20,11,39
2021,7,26,Sabino Canyon,Cloudless sulphur,144,49.5,20,11,39
2021,7,26,Sabino Canyon,Colorado hairstreak,9,49.5,20,11,39
2021,7,26,Sabino Canyon,Common or white checkered skipper,5,49.5,20,11,39
2021,7,26,Sabino Canyon,Dainty sulphur,44,49.5,20,11,39
2021,7,26,Sabino Canyon,Desert checkered skipper,1,49.5,20,11,39
2021,7,26,Sabino Canyon,Elada checkerspot,5,49.5,20,11,39
2021,7,26,Sabino Canyon,Empress leilia,31,49.5,20,11,39
2021,7,26,Sabino Canyon,Fiery skipper,50,49.5,20,11,39
2021,7,26,Sabino Canyon,Funereal duskywing,2,49.5,20,11,39
2021,7,26,Sabino Canyon,Gray hairstreak,2,49.5,20,11,39
2021,7,26,Sabino Canyon,Gulf fritillary,2,49.5,20,11,39
2021,7,26,Sabino Canyon,Hackberry emperor,2,49.5,20,11,39
2021,7,26,Sabino Canyon,Leda ministreak,4,49.5,20,11,39
2021,7,26,Sabino Canyon,Lyside sulphur,1,49.5,20,11,39
2021,7,26,Sabino Canyon,Marine blue,46,49.5,20,11,39
2021,7,26,Sabino Canyon,Mexican yellow,28,49.5,20,11,39
2021,7,26,Sabino Canyon,Monarch,4,49.5,20,11,39
2021,7,26,Sabino Canyon,Mournful duskywing,1,49.5,20,11,39
2021,7,26,Sabino Canyon,Mourning cloak,3,49.5,20,11,39
2021,7,26,Sabino Canyon,Mylitta crescent,1,49.5,20,11,39
2021,7,26,Sabino Canyon,Nais metalmark,1,49.5,20,11,39
2021,7,26,Sabino Canyon,Orange skipperling,2,49.5,20,11,39
2021,7,26,Sabino Canyon,Orange sulphur,130,49.5,20,11,39
2021,7,26,Sabino Canyon,Pacuvius duskywing,7,49.5,20,11,39
2021,7,26,Sabino Canyon,Painted lady,6,49.5,20,11,39
2021,7,26,Sabino Canyon,Pipevine swallowtail,9,49.5,20,11,39
2021,7,26,Sabino Canyon,Queen,14,49.5,20,11,39
2021,7,26,Sabino Canyon,Red admiral,1,49.5,20,11,39
2021,7,26,Sabino Canyon,Sleepy orange,99,49.5,20,11,39
2021,7,26,Sabino Canyon,Southern dogface,2,49.5,20,11,39
2021,7,26,Sabino Canyon,Spring azure,16,49.5,20,11,39
2021,7,26,Sabino Canyon,Taxiles skipper,1,49.5,20,11,39
2021,7,26,Sabino Canyon,Tiny checkerspot,1,49.5,20,11,39
2021,7,26,Sabino Canyon,Two-tailed swallowtail,1,49.5,20,11,39
2021,7,26,Sabino Canyon,Variegated fritillary,14,49.5,20,11,39
2021,7,26,Sabino Canyon,Western pygmy blue,8,49.5,20,11,39
2021,7,31,Santa Rita Mountains,American lady,1,36,10,6,17
2021,7,31,Santa Rita Mountains,American snout,38,36,10,6,17
2021,7,31,Santa Rita Mountains,Arizona powdered skipper,3,36,10,6,17
2021,7,31,Santa Rita Mountains,Arizona skipper,3,36,10,6,17
