family,genus,species,lower,upper,unit
Papilionidae (Parnassians and Swallowtails),Papilio,canadensis,NA,NA,NA
Papilionidae (Parnassians and Swallowtails),Papilio,rutulus,7,10,cm
Papilionidae (Parnassians and Swallowtails),Papilio,eurymedon,6.4,9,cm
Papilionidae (Parnassians and Swallowtails),Papilio,multicaudata,9,12.7,cm
Papilionidae (Parnassians and Swallowtails),Papilio,pilumnus,NA,NA,NA
Papilionidae (Parnassians and Swallowtails),Papilio,troilus,7.5,10,cm
Papilionidae (Parnassians and Swallowtails),Papilio,palamedes,11.4,13,cm
Papilionidae (Parnassians and Swallowtails),Pterourus,garamas,NA,NA,NA
Papilionidae (Parnassians and Swallowtails),Papilio,garamus,NA,NA,NA
Papilionidae (Parnassians and Swallowtails),Papilio,victorinus,9.5,11,cm
Papilionidae (Parnassians and Swallowtails),Papilio,thoas,10.5,12.8,cm
Papilionidae (Parnassians and Swallowtails),Papilio,cresphontes,10.2,16,cm
Papilionidae (Parnassians and Swallowtails),Papilio,astyalus,11.7,12,cm
Papilionidae (Parnassians and Swallowtails),Papilio,ornythion,8.3,11.5,cm
Papilionidae (Parnassians and Swallowtails),Papilio,aristodemus,9.2,11.8,cm
Papilionidae (Parnassians and Swallowtails),Papilio,andraemon,96,102,cm
Papilionidae (Parnassians and Swallowtails),Papilio,androgeus,13.4,14,cm
Papilionidae (Parnassians and Swallowtails),Papilio,anchisiades,7,10,cm
Papilionidae (Parnassians and Swallowtails),Papilio,rogeri,8.4,9.5,cm
Papilionidae (Parnassians and Swallowtails),Papilio,erostratus,NA,NA,NA
Papilionidae (Parnassians and Swallowtails),Papilio,pelaus,NA,NA,NA
Papilionidae (Parnassians and Swallowtails),Heraclides,machaonides,NA,NA,NA
Papilionidae (Parnassians and Swallowtails),Papilio,caiguanabus,NA,NA,NA
Papilionidae (Parnassians and Swallowtails),Heraclides,torquatus,NA,NA,NA
Pieridae (Whites and Sulphurs),Dismorphia,spio,NA,NA,NA
Pieridae (Whites and Sulphurs),Dismorphia,amphione,NA,NA,NA
Pieridae (Whites and Sulphurs),Dismorphia,crisia,NA,NA,NA
Pieridae (Whites and Sulphurs),Enantia,albania,2.2,3,cm
Pieridae (Whites and Sulphurs),Lieinix,nemesis,NA,NA,NA
Pieridae (Whites and Sulphurs),Anthocharis,cethura,2.5,4,cm
Pieridae (Whites and Sulphurs),Anthocharis,sara,2.7,4,cm
Pieridae (Whites and Sulphurs),Anthocharis,stella,3.5,4.8,cm
Pieridae (Whites and Sulphurs),Anthocharis,julia,2.5,3.1,cm
Pieridae (Whites and Sulphurs),Anthocharis,thoosa,NA,NA,NA
Pieridae (Whites and Sulphurs),Anthocharis,midea,3.5,4.5,cm
Pieridae (Whites and Sulphurs),Anthocharis,lanceolata,3.8,5,cm
Pieridae (Whites and Sulphurs),Euchloe,naina,NA,NA,NA
Pieridae (Whites and Sulphurs),Euchloe,ausonides,3.8,5.1,cm
Pieridae (Whites and Sulphurs),Euchloe,olympia,3.5,5.1,cm
Pieridae (Whites and Sulphurs),Euchloe,guaymasensis,NA,NA,NA
Pieridae (Whites and Sulphurs),Euchloe,lotta,3.2,4.5,cm
Pieridae (Whites and Sulphurs),Euchloe,hyantis,NA,NA,NA
Pieridae (Whites and Sulphurs),Euchloe,creusa,3.5,4.2,cm
Pieridae (Whites and Sulphurs),Hesperocharis,costaricensis,NA,NA,NA
Pieridae (Whites and Sulphurs),Hesperocharis,graphites,NA,NA,NA
Pieridae (Whites and Sulphurs),Appias,drusilla,5.3,7.7,cm
Pieridae (Whites and Sulphurs),Leodonta,tellane,NA,NA,NA
Pieridae (Whites and Sulphurs),Melete,lycimnia,NA,NA,NA
Pieridae (Whites and Sulphurs),Melete,polyhymnia,NA,NA,NA
Pieridae (Whites and Sulphurs),Melete,salacia,NA,NA,NA
Pieridae (Whites and Sulphurs),Neophasia,menapia,4.5,5.8,cm
Pieridae (Whites and Sulphurs),Neophasia,terlooii,4.5,5.8,cm
Pieridae (Whites and Sulphurs),Catasticta,flisa,NA,NA,NA
Pieridae (Whites and Sulphurs),Catasticta,nimbice,4.5,5.7,cm
Pieridae (Whites and Sulphurs),Catasticta,teutila,NA,NA,NA
Pieridae (Whites and Sulphurs),Catasticta,sisamnus,NA,NA,NA
Pieridae (Whites and Sulphurs),Pereute,charops,NA,NA,NA
Pieridae (Whites and Sulphurs),Archonias,brassolis,NA,NA,NA
Pieridae (Whites and Sulphurs),Pieriballia,viardi,NA,NA,NA
Pieridae (Whites and Sulphurs),Itaballia,demophile,NA,NA,NA
Pieridae (Whites and Sulphurs),Leptophobia,aripa,NA,NA,NA
Pieridae (Whites and Sulphurs),Leptophobia,eleusis,NA,NA,NA
Pieridae (Whites and Sulphurs),Pieris,angelika,NA,NA,NA
Pieridae (Whites and Sulphurs),Pieris,marginalis,3.8,5.7,cm
Pieridae (Whites and Sulphurs),Pieris,oleracea,3.8,5.7,cm
Pieridae (Whites and Sulphurs),Pieris,virginiensis,4.5,5.3,cm
Pieridae (Whites and Sulphurs),Pieris,rapae,4.5,5.8,cm
Pieridae (Whites and Sulphurs),Pieris,brassicae,NA,NA,NA
Pieridae (Whites and Sulphurs),Pontia,beckerii,4,5,cm
Pieridae (Whites and Sulphurs),Pontia,protodice,3.8,6.3,cm
Pieridae (Whites and Sulphurs),Pontia,occidentalis,3.8,5.3,cm
Pieridae (Whites and Sulphurs),Pontia,sisymbrii,3,4.5,cm
Pieridae (Whites and Sulphurs),Ascia,monuste,6.3,8.6,cm
Pieridae (Whites and Sulphurs),Ganyra,josephina,7.3,9.6,cm
Pieridae (Whites and Sulphurs),Ganyra,howarthi,4.5,4.8,cm
Pieridae (Whites and Sulphurs),Kricogonia,lyside,3.8,6,cm
Pieridae (Whites and Sulphurs),Kricogonia,cabrerai,NA,NA,NA
Pieridae (Whites and Sulphurs),Colias,philodice,3.8,7,cm
Pieridae (Whites and Sulphurs),Colias,eurytheme,3.5,7,cm
Pieridae (Whites and Sulphurs),Colias,eurytheme,NA,NA,NA
