site,lat,long,urb16_1mi,urb16_5mi,urb16_25mi,urb92_1mi,urb92_5mi,urb92_25mi,crop08_1mi,crop08_5mi,crop08_25mi,crop19_1mi,crop19_5mi,crop19_25mi,crop_1mi,crop_5mi,crop_25mi,urb_1mi,urb_5mi,urb_25mi,urb25PerYear,crop25PerYear
HastingsReservationCA,36.336,-121.4993,0.018776,0.013154,0.035357,0.00263,0.001471,0.018955,0,0.081008,0.000116,0.000816,0.000352,0.068109,0.000816,-0.080656,0.067993,-0.000179,0.011683,0.016402,0.000683417,0.006181182
LaidlawParkID,43.1548,-113.622,0,0,0.005187,0,0.000021,0.000657,0.000635,0.056921,0.000377,0,0.000018,0.063666,-0.000635,-0.056904,0.06329,-0.000657,-0.000021,0.00453,0.00018875,0.005753636
GraysLakeNationalWildlifeRefuge,43.048,-111.401,0,0.006748,0.009148,0,0.000018,0.001179,0.016508,0.075989,0.01132,0.005714,0.00604,0.073044,-0.010794,-0.069948,0.061724,-0.001179,0.00673,0.007969,0.000332042,0.005611273
PinnaclesNationalPark,36.4647,-121.1978,0,0.008124,0.026419,0.000091,0.00075,0.010695,0,0.066683,0.010757,0.000454,0.014777,0.071605,0.000454,-0.051906,0.060848,-0.010695,0.007374,0.015724,0.000655167,0.005531636
RattlesnakeJacksatSkinGulchLarimerCountyCO,40.67,-105.38,0.018413,0.0093,0.054506,0,0.00169,0.02765,0,0.064916,0.001148,0,0.000275,0.06121,0,-0.064642,0.060063,-0.009237,0.00761,0.026856,0.001119,0.005460273
UtopiaOR,44.5,-121,0.030295,0.02331,0.034935,0.002449,0.000419,0.009737,0.000544,0.088298,0.010205,0.000181,0.009275,0.070014,-0.000363,-0.079022,0.059809,0.020558,0.022891,0.025198,0.001049917,0.005437182
CheyenneWYCO,41.07,-104.9,0.116735,0.097008,0.029181,0.034467,0.08566,0.02086,0,0.026172,0.000271,0.009524,0.011134,0.058539,0.009524,-0.015038,0.058268,0.095875,0.011348,0.008321,0.000346708,0.005297091
GlenHavenCO,40.48,-105.47,0,0.004249,0.059234,0,0.002548,0.033682,0,0.061269,0.000201,0,0.000018,0.054232,0,-0.061251,0.054031,-0.033682,0.001701,0.025552,0.001064667,0.004911909
SonomaCo,38.3333,-122.6833,0.847347,0.224595,0.104248,0.49034,0.148549,0.06781,0.005624,0.056312,0.013179,0.008435,0.060689,0.067177,0.002812,0.004377,0.053998,0.779537,0.076046,0.036438,0.00151825,0.004908909
Monterey,36.5418,-121.8185,0.096236,0.199276,0.054105,0.108753,0.148098,0.034916,0.001361,0.08114,0.003246,0.000181,0.002591,0.05625,-0.001179,-0.078549,0.053004,0.06132,0.051178,0.019189,0.000799542,0.004818545
